"Date Time","Temp [°C]","Wind [m/s]","Price [c/kWh]"
"2023-02-28 22:00:00","0.2","3.8","2.507"
"2023-02-28 23:00:00","-0.1","3.7","2.691"
"2023-03-01 00:00:00","-1.1","3.1","2.547"
"2023-03-01 01:00:00","-1.4","3.3","2.554"
"2023-03-01 02:00:00","-1.6","3.5","2.601"
"2023-03-01 03:00:00","-2","3","2.804"
"2023-03-01 04:00:00","-2.3","3.4","3.602"
"2023-03-01 05:00:00","-2.2","3.5","10.833"
"2023-03-01 06:00:00","-1.9","3.6","15.006"
"2023-03-01 07:00:00","-2.1","3.7","18.007"
"2023-03-01 08:00:00","-2","3.7","14.3"
"2023-03-01 09:00:00","-1.5","3.3","11.788"
"2023-03-01 10:00:00","-0.3","3.8","11.504"
"2023-03-01 11:00:00","1","4.7","11.22"
"2023-03-01 12:00:00","2","4.9","11.081"
"2023-03-01 13:00:00","3.1","4.7","11.181"
"2023-03-01 14:00:00","3.6","4.7","11.413"
"2023-03-01 15:00:00","3.9","5.1","11.526"
"2023-03-01 16:00:00","4.2","4.9","11.72"
"2023-03-01 17:00:00","4.1","3.3","11.708"
"2023-03-01 18:00:00","3.7","1.7","7.11"
"2023-03-01 19:00:00","3.5","1.8","3.144"
"2023-03-01 20:00:00","3.2","2.8","2.711"
"2023-03-01 21:00:00","3.1","2.5","2.274"
"2023-03-01 22:00:00","2.7","2","2.127"
"2023-03-01 23:00:00","2.5","2.1","1.686"
"2023-03-02 00:00:00","2.1","2.9","1.289"
"2023-03-02 01:00:00","1.8","4.4","1.046"
"2023-03-02 02:00:00","1.5","4.3","1.265"
"2023-03-02 03:00:00","0.9","4.2","1.749"
"2023-03-02 04:00:00","1.1","4.5","2.205"
"2023-03-02 05:00:00","0.7","3.8","2.384"
"2023-03-02 06:00:00","0.5","4.8","2.611"
"2023-03-02 07:00:00","1","6.2","3.216"
"2023-03-02 08:00:00","1","6","2.999"
"2023-03-02 09:00:00","1.2","5.8","2.528"
"2023-03-02 10:00:00","1.8","6.7","2.421"
"2023-03-02 11:00:00","2.9","7.5","2.378"
"2023-03-02 12:00:00","3.6","7.6","2.355"
"2023-03-02 13:00:00","3.7","8.9","2.319"
"2023-03-02 14:00:00","3.8","7.7","2.264"
"2023-03-02 15:00:00","3.9","7.4","2.276"
"2023-03-02 16:00:00","4.2","7.8","2.347"
"2023-03-02 17:00:00","3.8","7.3","2.359"
"2023-03-02 18:00:00","3","6.8","2.363"
"2023-03-02 19:00:00","2","5.8","2.277"
"2023-03-02 20:00:00","1.2","4.9","2.332"
"2023-03-02 21:00:00","0.4","2.5","2.3"
"2023-03-02 22:00:00","0.7","4.1","2.254"
"2023-03-02 23:00:00","1.1","4.2","2.153"
"2023-03-03 00:00:00","1.3","4.1","2.154"
"2023-03-03 01:00:00","1.2","3.9","2.2"
"2023-03-03 02:00:00","0.9","4.4","2.252"
"2023-03-03 03:00:00","0.5","3.7","2.349"
"2023-03-03 04:00:00","0.2","3.5","2.617"
"2023-03-03 05:00:00","0.1","4","6.393"
"2023-03-03 06:00:00","-0.3","3.9","11.577"
"2023-03-03 07:00:00","-1.2","3.3","11.693"
"2023-03-03 08:00:00","-1.8","3.1","11.598"
"2023-03-03 09:00:00","-1.6","3.2","12.798"
"2023-03-03 10:00:00","-0.9","3.1","11.819"
"2023-03-03 11:00:00","0.1","3.8","11.194"
"2023-03-03 12:00:00","0.9","4.3","10.421"
"2023-03-03 13:00:00","1.5","5.5","10.509"
"2023-03-03 14:00:00","2","6.3","12.13"
"2023-03-03 15:00:00","2.2","7.2","14.956"
"2023-03-03 16:00:00","1.9","6.8","16.657"
"2023-03-03 17:00:00","0.5","4.7","16.5"
"2023-03-03 18:00:00","0","4.7","10.176"
"2023-03-03 19:00:00","0","4.4","4.027"
"2023-03-03 20:00:00","0","4.3","4.008"
"2023-03-03 21:00:00","0.1","3.8","3.334"
"2023-03-03 22:00:00","0","2.5","2.156"
"2023-03-03 23:00:00","0","1.6","4.436"
"2023-03-04 00:00:00","0","1.8","2.764"
"2023-03-04 01:00:00","-0.3","4.3","2.417"
"2023-03-04 02:00:00","-0.9","5.4","2.474"
"2023-03-04 03:00:00","-1.2","5.7","2.556"
"2023-03-04 04:00:00","-1.5","5.2","2.764"
"2023-03-04 05:00:00","-1.7","4.1","2.97"
"2023-03-04 06:00:00","-1.8","3.6","4.04"
"2023-03-04 07:00:00","-2.1","3.2","6"
"2023-03-04 08:00:00","-2.5","3.4","7.394"
"2023-03-04 09:00:00","-2.8","3.2","7.394"
"2023-03-04 10:00:00","-2.7","3.4","7.43"
"2023-03-04 11:00:00","-2.4","3.3","9.584"
"2023-03-04 12:00:00","-2","3.6","9.327"
"2023-03-04 13:00:00","-1.6","3.7","9.676"
"2023-03-04 14:00:00","-1","3.3","10.301"
"2023-03-04 15:00:00","-1.1","4.1","10.894"
"2023-03-04 16:00:00","-1.3","3.5","13.664"
"2023-03-04 17:00:00","-1.5","4.2","14.802"
"2023-03-04 18:00:00","-2.2","4","14.152"
"2023-03-04 19:00:00","-2.7","4","12.299"
"2023-03-04 20:00:00","-3.2","3.7","11.488"
"2023-03-04 21:00:00","-3.5","3.3","11.253"
"2023-03-04 22:00:00","-3.6","2.8","10.581"
"2023-03-04 23:00:00","-3.6","2.6","10.487"
"2023-03-05 00:00:00","-3.8","2.7","10.308"
"2023-03-05 01:00:00","-3.9","2.6","10.21"
"2023-03-05 02:00:00","-4","2.4","10.399"
"2023-03-05 03:00:00","-4.1","3","10.123"
"2023-03-05 04:00:00","-4.3","3","10.212"
"2023-03-05 05:00:00","-4.4","2.8","10.146"
"2023-03-05 06:00:00","-4.4","1.2","10.578"
"2023-03-05 07:00:00","-4.4","1.1","10.8"
"2023-03-05 08:00:00","-4.4","1.1","10.773"
"2023-03-05 09:00:00","-4.1","1.3","10.518"
"2023-03-05 10:00:00","-3.8","2.3","10.68"
"2023-03-05 11:00:00","-3.6","2.1","10.683"
"2023-03-05 12:00:00","-3.5","2.4","10.705"
"2023-03-05 13:00:00","-3.3","3","10.68"
"2023-03-05 14:00:00","-2.7","2.9","11.104"
"2023-03-05 15:00:00","-2.6","2.8","11.536"
"2023-03-05 16:00:00","-2.6","3","14.514"
"2023-03-05 17:00:00","-2.7","2.4","16.647"
"2023-03-05 18:00:00","-2.9","1.9","17.014"
"2023-03-05 19:00:00","-3.1","1.6","14.767"
"2023-03-05 20:00:00","-3.2","1.6","14.499"
"2023-03-05 21:00:00","-3.3","1.4","13.697"
"2023-03-05 22:00:00","-3.8","3.2","11.772"
"2023-03-05 23:00:00","-5.5","2.5","13.06"
"2023-03-06 00:00:00","-6.5","2","12.208"
"2023-03-06 01:00:00","-7.6","1.5","12.03"
"2023-03-06 02:00:00","-8.1","1.8","12.017"
"2023-03-06 03:00:00","-9.7","1.2","12.241"
"2023-03-06 04:00:00","-10.6","1.2","13.744"
"2023-03-06 05:00:00","-9.8","1.6","15.98"
"2023-03-06 06:00:00","-9.3","1","18.5"
"2023-03-06 07:00:00","-9.5","0.9","21.709"
"2023-03-06 08:00:00","-9.8","0.6","18.999"
"2023-03-06 09:00:00","-9.2","1.2","17.026"
"2023-03-06 10:00:00","-8.6","2","16.084"
"2023-03-06 11:00:00","-7.9","1.9","14.992"
"2023-03-06 12:00:00","-7.1","2.2","14.495"
"2023-03-06 13:00:00","-6.8","2.7","14.43"
"2023-03-06 14:00:00","-6.5","2.2","14.578"
"2023-03-06 15:00:00","-6.7","1.8","15.2"
"2023-03-06 16:00:00","-6.6","1.1","16.203"
"2023-03-06 17:00:00","-6.3","1.3","18.487"
"2023-03-06 18:00:00","-6.6","2.1","17.681"
