"Alkuaika UTC","Loppuaika UTC","Tuulivoiman tuotantoennuste - päivitys 15 minuutin välein"
"2022-12-31T22:00:00.000Z","2022-12-31T23:00:00.000Z","3663"
"2022-12-31T23:00:00.000Z","2023-01-01T00:00:00.000Z","3720.59999"
"2023-01-01T00:00:00.000Z","2023-01-01T01:00:00.000Z","3711.19999"
"2023-01-01T01:00:00.000Z","2023-01-01T02:00:00.000Z","3694.5"
"2023-01-01T02:00:00.000Z","2023-01-01T03:00:00.000Z","3731.8"
"2023-01-01T03:00:00.000Z","2023-01-01T04:00:00.000Z","3794"
"2023-01-01T04:00:00.000Z","2023-01-01T05:00:00.000Z","3764.3"
"2023-01-01T05:00:00.000Z","2023-01-01T06:00:00.000Z","3761"
"2023-01-01T06:00:00.000Z","2023-01-01T07:00:00.000Z","3655.69999"
"2023-01-01T07:00:00.000Z","2023-01-01T08:00:00.000Z","3525.9"
"2023-01-01T08:00:00.000Z","2023-01-01T09:00:00.000Z","3490.19999"
"2023-01-01T09:00:00.000Z","2023-01-01T10:00:00.000Z","3405.8"
"2023-01-01T10:00:00.000Z","2023-01-01T11:00:00.000Z","3509"
"2023-01-01T11:00:00.000Z","2023-01-01T12:00:00.000Z","3537.19999"
"2023-01-01T12:00:00.000Z","2023-01-01T13:00:00.000Z","3561.8"
"2023-01-01T13:00:00.000Z","2023-01-01T14:00:00.000Z","3659.5"
"2023-01-01T14:00:00.000Z","2023-01-01T15:00:00.000Z","3681.4"
"2023-01-01T15:00:00.000Z","2023-01-01T16:00:00.000Z","3606.19999"
"2023-01-01T16:00:00.000Z","2023-01-01T17:00:00.000Z","3676.69999"
"2023-01-01T17:00:00.000Z","2023-01-01T18:00:00.000Z","3717"
"2023-01-01T18:00:00.000Z","2023-01-01T19:00:00.000Z","3675.9"
"2023-01-01T19:00:00.000Z","2023-01-01T20:00:00.000Z","3670.8"
"2023-01-01T20:00:00.000Z","2023-01-01T21:00:00.000Z","3575.3"
"2023-01-01T21:00:00.000Z","2023-01-01T22:00:00.000Z","3437.69999"
"2023-01-01T22:00:00.000Z","2023-01-01T23:00:00.000Z","3263.59999"
"2023-01-01T23:00:00.000Z","2023-01-02T00:00:00.000Z","3060.69999"
"2023-01-02T00:00:00.000Z","2023-01-02T01:00:00.000Z","3063.4"
"2023-01-02T01:00:00.000Z","2023-01-02T02:00:00.000Z","2982.5"
"2023-01-02T02:00:00.000Z","2023-01-02T03:00:00.000Z","2842.09999"
"2023-01-02T03:00:00.000Z","2023-01-02T04:00:00.000Z","2575"
"2023-01-02T04:00:00.000Z","2023-01-02T05:00:00.000Z","2337.09999"
"2023-01-02T05:00:00.000Z","2023-01-02T06:00:00.000Z","2191.59999"
"2023-01-02T06:00:00.000Z","2023-01-02T07:00:00.000Z","2068.8"
"2023-01-02T07:00:00.000Z","2023-01-02T08:00:00.000Z","2044.9"
"2023-01-02T08:00:00.000Z","2023-01-02T09:00:00.000Z","2097.9"
"2023-01-02T09:00:00.000Z","2023-01-02T10:00:00.000Z","1945.3"
"2023-01-02T10:00:00.000Z","2023-01-02T11:00:00.000Z","1837.9"
"2023-01-02T11:00:00.000Z","2023-01-02T12:00:00.000Z","1883.3"
"2023-01-02T12:00:00.000Z","2023-01-02T13:00:00.000Z","1841.59999"
"2023-01-02T13:00:00.000Z","2023-01-02T14:00:00.000Z","1674.7"
"2023-01-02T14:00:00.000Z","2023-01-02T15:00:00.000Z","1651.5"
"2023-01-02T15:00:00.000Z","2023-01-02T16:00:00.000Z","1555.3"
"2023-01-02T16:00:00.000Z","2023-01-02T17:00:00.000Z","1474.09999"
"2023-01-02T17:00:00.000Z","2023-01-02T18:00:00.000Z","1316.3"
"2023-01-02T18:00:00.000Z","2023-01-02T19:00:00.000Z","1125.7"
"2023-01-02T19:00:00.000Z","2023-01-02T20:00:00.000Z","945"
"2023-01-02T20:00:00.000Z","2023-01-02T21:00:00.000Z","822.79999"
"2023-01-02T21:00:00.000Z","2023-01-02T22:00:00.000Z","769.6"
"2023-01-02T22:00:00.000Z","2023-01-02T23:00:00.000Z","774.29999"
"2023-01-02T23:00:00.000Z","2023-01-03T00:00:00.000Z","653.7"
"2023-01-03T00:00:00.000Z","2023-01-03T01:00:00.000Z","588.6"
"2023-01-03T01:00:00.000Z","2023-01-03T02:00:00.000Z","511.89999"
"2023-01-03T02:00:00.000Z","2023-01-03T03:00:00.000Z","518.39999"
"2023-01-03T03:00:00.000Z","2023-01-03T04:00:00.000Z","491.8"
"2023-01-03T04:00:00.000Z","2023-01-03T05:00:00.000Z","455.6"
"2023-01-03T05:00:00.000Z","2023-01-03T06:00:00.000Z","433.5"
"2023-01-03T06:00:00.000Z","2023-01-03T07:00:00.000Z","411.39999"
"2023-01-03T07:00:00.000Z","2023-01-03T08:00:00.000Z","392.5"
"2023-01-03T08:00:00.000Z","2023-01-03T09:00:00.000Z","396.1"
"2023-01-03T09:00:00.000Z","2023-01-03T10:00:00.000Z","373.89999"
"2023-01-03T10:00:00.000Z","2023-01-03T11:00:00.000Z","387"
"2023-01-03T11:00:00.000Z","2023-01-03T12:00:00.000Z","373.89999"
"2023-01-03T12:00:00.000Z","2023-01-03T13:00:00.000Z","392.69999"
"2023-01-03T13:00:00.000Z","2023-01-03T14:00:00.000Z","403.5"
"2023-01-03T14:00:00.000Z","2023-01-03T15:00:00.000Z","427.19999"
"2023-01-03T15:00:00.000Z","2023-01-03T16:00:00.000Z","453.69999"
"2023-01-03T16:00:00.000Z","2023-01-03T17:00:00.000Z","444.69999"
"2023-01-03T17:00:00.000Z","2023-01-03T18:00:00.000Z","461.89999"
"2023-01-03T18:00:00.000Z","2023-01-03T19:00:00.000Z","532.79999"
"2023-01-03T19:00:00.000Z","2023-01-03T20:00:00.000Z","609.79999"
"2023-01-03T20:00:00.000Z","2023-01-03T21:00:00.000Z","714.39999"
"2023-01-03T21:00:00.000Z","2023-01-03T22:00:00.000Z","803.39999"
"2023-01-03T22:00:00.000Z","2023-01-03T23:00:00.000Z","927.2"
"2023-01-03T23:00:00.000Z","2023-01-04T00:00:00.000Z","1101.7"
"2023-01-04T00:00:00.000Z","2023-01-04T01:00:00.000Z","1208.59999"
"2023-01-04T01:00:00.000Z","2023-01-04T02:00:00.000Z","1189.7"
"2023-01-04T02:00:00.000Z","2023-01-04T03:00:00.000Z","1177.09999"
"2023-01-04T03:00:00.000Z","2023-01-04T04:00:00.000Z","1244.4"
"2023-01-04T04:00:00.000Z","2023-01-04T05:00:00.000Z","1228.8"
"2023-01-04T05:00:00.000Z","2023-01-04T06:00:00.000Z","1237"
"2023-01-04T06:00:00.000Z","2023-01-04T07:00:00.000Z","1282.4"
"2023-01-04T07:00:00.000Z","2023-01-04T08:00:00.000Z","1299.4"
"2023-01-04T08:00:00.000Z","2023-01-04T09:00:00.000Z","1343.09999"
"2023-01-04T09:00:00.000Z","2023-01-04T10:00:00.000Z","1360"
"2023-01-04T10:00:00.000Z","2023-01-04T11:00:00.000Z","1353.2"
"2023-01-04T11:00:00.000Z","2023-01-04T12:00:00.000Z","1296.59999"
"2023-01-04T12:00:00.000Z","2023-01-04T13:00:00.000Z","1381.09999"
