"Start time UTC","End time UTC","Wind power generation - 15 min data"
"2022-12-31T22:00:00.000Z","2022-12-31T23:00:00.000Z","3485"
"2022-12-31T23:00:00.000Z","2023-01-01T00:00:00.000Z","3449"
"2023-01-01T00:00:00.000Z","2023-01-01T01:00:00.000Z","3559"
"2023-01-01T01:00:00.000Z","2023-01-01T02:00:00.000Z","3634"
"2023-01-01T02:00:00.000Z","2023-01-01T03:00:00.000Z","3628"
"2023-01-01T03:00:00.000Z","2023-01-01T04:00:00.000Z","3500"
"2023-01-01T04:00:00.000Z","2023-01-01T05:00:00.000Z","3353"
"2023-01-01T05:00:00.000Z","2023-01-01T06:00:00.000Z","3391"
"2023-01-01T06:00:00.000Z","2023-01-01T07:00:00.000Z","3233"
"2023-01-01T07:00:00.000Z","2023-01-01T08:00:00.000Z","3214"
"2023-01-01T08:00:00.000Z","2023-01-01T09:00:00.000Z","3213"
"2023-01-01T09:00:00.000Z","2023-01-01T10:00:00.000Z","3249"
"2023-01-01T10:00:00.000Z","2023-01-01T11:00:00.000Z","3416"
"2023-01-01T11:00:00.000Z","2023-01-01T12:00:00.000Z","3416"
"2023-01-01T12:00:00.000Z","2023-01-01T13:00:00.000Z","3255"
"2023-01-01T13:00:00.000Z","2023-01-01T14:00:00.000Z","3490"
"2023-01-01T14:00:00.000Z","2023-01-01T15:00:00.000Z","3600"
"2023-01-01T15:00:00.000Z","2023-01-01T16:00:00.000Z","3503"
"2023-01-01T16:00:00.000Z","2023-01-01T17:00:00.000Z","3541"
"2023-01-01T17:00:00.000Z","2023-01-01T18:00:00.000Z","3620"
"2023-01-01T18:00:00.000Z","2023-01-01T19:00:00.000Z","3676"
"2023-01-01T19:00:00.000Z","2023-01-01T20:00:00.000Z","3604"
"2023-01-01T20:00:00.000Z","2023-01-01T21:00:00.000Z","3335"
"2023-01-01T21:00:00.000Z","2023-01-01T22:00:00.000Z","3298"
"2023-01-01T22:00:00.000Z","2023-01-01T23:00:00.000Z","3263"
"2023-01-01T23:00:00.000Z","2023-01-02T00:00:00.000Z","3264"
"2023-01-02T00:00:00.000Z","2023-01-02T01:00:00.000Z","3166"
"2023-01-02T01:00:00.000Z","2023-01-02T02:00:00.000Z","3143"
"2023-01-02T02:00:00.000Z","2023-01-02T03:00:00.000Z","2892"
"2023-01-02T03:00:00.000Z","2023-01-02T04:00:00.000Z","2578"
"2023-01-02T04:00:00.000Z","2023-01-02T05:00:00.000Z","2468"
"2023-01-02T05:00:00.000Z","2023-01-02T06:00:00.000Z","2392"
"2023-01-02T06:00:00.000Z","2023-01-02T07:00:00.000Z","2178"
"2023-01-02T07:00:00.000Z","2023-01-02T08:00:00.000Z","2047"
"2023-01-02T08:00:00.000Z","2023-01-02T09:00:00.000Z","2039"
"2023-01-02T09:00:00.000Z","2023-01-02T10:00:00.000Z","2017"
"2023-01-02T10:00:00.000Z","2023-01-02T11:00:00.000Z","1814"
"2023-01-02T11:00:00.000Z","2023-01-02T12:00:00.000Z","1915"
"2023-01-02T12:00:00.000Z","2023-01-02T13:00:00.000Z","1871"
"2023-01-02T13:00:00.000Z","2023-01-02T14:00:00.000Z","1873"
"2023-01-02T14:00:00.000Z","2023-01-02T15:00:00.000Z","1718"
"2023-01-02T15:00:00.000Z","2023-01-02T16:00:00.000Z","1648"
"2023-01-02T16:00:00.000Z","2023-01-02T17:00:00.000Z","1530"
"2023-01-02T17:00:00.000Z","2023-01-02T18:00:00.000Z","1448"
"2023-01-02T18:00:00.000Z","2023-01-02T19:00:00.000Z","1313"
"2023-01-02T19:00:00.000Z","2023-01-02T20:00:00.000Z","1115"
"2023-01-02T20:00:00.000Z","2023-01-02T21:00:00.000Z","981"
"2023-01-02T21:00:00.000Z","2023-01-02T22:00:00.000Z","861"
"2023-01-02T22:00:00.000Z","2023-01-02T23:00:00.000Z","729"
"2023-01-02T23:00:00.000Z","2023-01-03T00:00:00.000Z","667"
"2023-01-03T00:00:00.000Z","2023-01-03T01:00:00.000Z","576"
"2023-01-03T01:00:00.000Z","2023-01-03T02:00:00.000Z","459"
"2023-01-03T02:00:00.000Z","2023-01-03T03:00:00.000Z","369"
"2023-01-03T03:00:00.000Z","2023-01-03T04:00:00.000Z","325"
"2023-01-03T04:00:00.000Z","2023-01-03T05:00:00.000Z","313"
"2023-01-03T05:00:00.000Z","2023-01-03T06:00:00.000Z","326"
"2023-01-03T06:00:00.000Z","2023-01-03T07:00:00.000Z","350"
"2023-01-03T07:00:00.000Z","2023-01-03T08:00:00.000Z","334"
"2023-01-03T08:00:00.000Z","2023-01-03T09:00:00.000Z","292"
"2023-01-03T09:00:00.000Z","2023-01-03T10:00:00.000Z","259"
"2023-01-03T10:00:00.000Z","2023-01-03T11:00:00.000Z","188"
"2023-01-03T11:00:00.000Z","2023-01-03T12:00:00.000Z","162"
"2023-01-03T12:00:00.000Z","2023-01-03T13:00:00.000Z","174"
"2023-01-03T13:00:00.000Z","2023-01-03T14:00:00.000Z","247"
"2023-01-03T14:00:00.000Z","2023-01-03T15:00:00.000Z","332"
"2023-01-03T15:00:00.000Z","2023-01-03T16:00:00.000Z","383"
"2023-01-03T16:00:00.000Z","2023-01-03T17:00:00.000Z","413"
"2023-01-03T17:00:00.000Z","2023-01-03T18:00:00.000Z","549"
"2023-01-03T18:00:00.000Z","2023-01-03T19:00:00.000Z","665"
"2023-01-03T19:00:00.000Z","2023-01-03T20:00:00.000Z","787"
"2023-01-03T20:00:00.000Z","2023-01-03T21:00:00.000Z","946"
"2023-01-03T21:00:00.000Z","2023-01-03T22:00:00.000Z","1048"
"2023-01-03T22:00:00.000Z","2023-01-03T23:00:00.000Z","984"
"2023-01-03T23:00:00.000Z","2023-01-04T00:00:00.000Z","1009"
"2023-01-04T00:00:00.000Z","2023-01-04T01:00:00.000Z","1168"
"2023-01-04T01:00:00.000Z","2023-01-04T02:00:00.000Z","1234"
"2023-01-04T02:00:00.000Z","2023-01-04T03:00:00.000Z","1283"
"2023-01-04T03:00:00.000Z","2023-01-04T04:00:00.000Z","1364"
"2023-01-04T04:00:00.000Z","2023-01-04T05:00:00.000Z","1449"
"2023-01-04T05:00:00.000Z","2023-01-04T06:00:00.000Z","1577"
"2023-01-04T06:00:00.000Z","2023-01-04T07:00:00.000Z","1665"
"2023-01-04T07:00:00.000Z","2023-01-04T08:00:00.000Z","1646"
"2023-01-04T08:00:00.000Z","2023-01-04T09:00:00.000Z","1642"
"2023-01-04T09:00:00.000Z","2023-01-04T10:00:00.000Z","1700"
"2023-01-04T10:00:00.000Z","2023-01-04T11:00:00.000Z","1623"
"2023-01-04T11:00:00.000Z","2023-01-04T12:00:00.000Z","1513"
"2023-01-04T12:00:00.000Z","2023-01-04T13:00:00.000Z","1540"
"2023-01-04T13:00:00.000Z","2023-01-04T14:00:00.000Z","1786"
"2023-01-04T14:00:00.000Z","2023-01-04T15:00:00.000Z","2132"
"2023-01-04T15:00:00.000Z","2023-01-04T16:00:00.000Z","2426"
"2023-01-04T16:00:00.000Z","2023-01-04T17:00:00.000Z","2512"
"2023-01-04T17:00:00.000Z","2023-01-04T18:00:00.000Z","2351"
"2023-01-04T18:00:00.000Z","2023-01-04T19:00:00.000Z","2356"
"2023-01-04T19:00:00.000Z","2023-01-04T20:00:00.000Z","2434"
"2023-01-04T20:00:00.000Z","2023-01-04T21:00:00.000Z","2766"
"2023-01-04T21:00:00.000Z","2023-01-04T22:00:00.000Z","2942"
"2023-01-04T22:00:00.000Z","2023-01-04T23:00:00.000Z","3016"
"2023-01-04T23:00:00.000Z","2023-01-05T00:00:00.000Z","2903"
"2023-01-05T00:00:00.000Z","2023-01-05T01:00:00.000Z","2825"
"2023-01-05T01:00:00.000Z","2023-01-05T02:00:00.000Z","3012"
"2023-01-05T02:00:00.000Z","2023-01-05T03:00:00.000Z","3060"
"2023-01-05T03:00:00.000Z","2023-01-05T04:00:00.000Z","3143"
"2023-01-05T04:00:00.000Z","2023-01-05T05:00:00.000Z","3154"
"2023-01-05T05:00:00.000Z","2023-01-05T06:00:00.000Z","3084"
"2023-01-05T06:00:00.000Z","2023-01-05T07:00:00.000Z","2795"
"2023-01-05T07:00:00.000Z","2023-01-05T08:00:00.000Z","2746"
"2023-01-05T08:00:00.000Z","2023-01-05T09:00:00.000Z","2498"
"2023-01-05T09:00:00.000Z","2023-01-05T10:00:00.000Z","2204"
"2023-01-05T10:00:00.000Z","2023-01-05T11:00:00.000Z","1964"
"2023-01-05T11:00:00.000Z","2023-01-05T12:00:00.000Z","1820"
"2023-01-05T12:00:00.000Z","2023-01-05T13:00:00.000Z","1788"
"2023-01-05T13:00:00.000Z","2023-01-05T14:00:00.000Z","1751"
"2023-01-05T14:00:00.000Z","2023-01-05T15:00:00.000Z","1771"
"2023-01-05T15:00:00.000Z","2023-01-05T16:00:00.000Z","1724"
"2023-01-05T16:00:00.000Z","2023-01-05T17:00:00.000Z","1648"
"2023-01-05T17:00:00.000Z","2023-01-05T18:00:00.000Z","1471"
"2023-01-05T18:00:00.000Z","2023-01-05T19:00:00.000Z","1191"
"2023-01-05T19:00:00.000Z","2023-01-05T20:00:00.000Z","919"
"2023-01-05T20:00:00.000Z","2023-01-05T21:00:00.000Z","718"
"2023-01-05T21:00:00.000Z","2023-01-05T22:00:00.000Z","585"
"2023-01-05T22:00:00.000Z","2023-01-05T23:00:00.000Z","509"
"2023-01-05T23:00:00.000Z","2023-01-06T00:00:00.000Z","423"
"2023-01-06T00:00:00.000Z","2023-01-06T01:00:00.000Z","320"
"2023-01-06T01:00:00.000Z","2023-01-06T02:00:00.000Z","264"
"2023-01-06T02:00:00.000Z","2023-01-06T03:00:00.000Z","230"
"2023-01-06T03:00:00.000Z","2023-01-06T04:00:00.000Z","212"
"2023-01-06T04:00:00.000Z","2023-01-06T05:00:00.000Z","189"
"2023-01-06T05:00:00.000Z","2023-01-06T06:00:00.000Z","244"
"2023-01-06T06:00:00.000Z","2023-01-06T07:00:00.000Z","276"
"2023-01-06T07:00:00.000Z","2023-01-06T08:00:00.000Z","332"
"2023-01-06T08:00:00.000Z","2023-01-06T09:00:00.000Z","409"
"2023-01-06T09:00:00.000Z","2023-01-06T10:00:00.000Z","498"
"2023-01-06T10:00:00.000Z","2023-01-06T11:00:00.000Z","539"
"2023-01-06T11:00:00.000Z","2023-01-06T12:00:00.000Z","559"
"2023-01-06T12:00:00.000Z","2023-01-06T13:00:00.000Z","622"
"2023-01-06T13:00:00.000Z","2023-01-06T14:00:00.000Z","713"
"2023-01-06T14:00:00.000Z","2023-01-06T15:00:00.000Z","898"
"2023-01-06T15:00:00.000Z","2023-01-06T16:00:00.000Z","1114"
"2023-01-06T16:00:00.000Z","2023-01-06T17:00:00.000Z","1374"
"2023-01-06T17:00:00.000Z","2023-01-06T18:00:00.000Z","1609"
"2023-01-06T18:00:00.000Z","2023-01-06T19:00:00.000Z","1883"
"2023-01-06T19:00:00.000Z","2023-01-06T20:00:00.000Z","1978"
"2023-01-06T20:00:00.000Z","2023-01-06T21:00:00.000Z","1927"
"2023-01-06T21:00:00.000Z","2023-01-06T22:00:00.000Z","1863"
