hour,price
2023-01-01T00:00:00.000Z,0.152
2023-01-01T01:00:00.000Z,0.010
2023-01-01T02:00:00.000Z,0.009
2023-01-01T03:00:00.000Z,0.006
2023-01-01T04:00:00.000Z,0.009
2023-01-01T05:00:00.000Z,0.010
2023-01-01T06:00:00.000Z,0.058
2023-01-01T07:00:00.000Z,0.223
2023-01-01T08:00:00.000Z,0.341
2023-01-01T09:00:00.000Z,0.487
2023-01-01T10:00:00.000Z,0.667
2023-01-01T11:00:00.000Z,0.667
2023-01-01T12:00:00.000Z,0.625
2023-01-01T13:00:00.000Z,1.948
2023-01-01T14:00:00.000Z,2.652
2023-01-01T15:00:00.000Z,4.019
2023-01-01T16:00:00.000Z,5.063
2023-01-01T17:00:00.000Z,5.965
2023-01-01T18:00:00.000Z,5.899
2023-01-01T19:00:00.000Z,5.286
2023-01-01T20:00:00.000Z,4.915
2023-01-01T21:00:00.000Z,5.056
2023-01-01T22:00:00.000Z,3.850
2023-01-01T23:00:00.000Z,6.370
2023-01-02T00:00:00.000Z,5.684
2023-01-02T01:00:00.000Z,5.815
2023-01-02T02:00:00.000Z,4.858
2023-01-02T03:00:00.000Z,5.509
2023-01-02T04:00:00.000Z,7.780
2023-01-02T05:00:00.000Z,11.282
2023-01-02T06:00:00.000Z,15.201
2023-01-02T07:00:00.000Z,16.058
2023-01-02T08:00:00.000Z,16.176
2023-01-02T09:00:00.000Z,16.017
2023-01-02T10:00:00.000Z,15.769
2023-01-02T11:00:00.000Z,15.882
2023-01-02T12:00:00.000Z,15.814
2023-01-02T13:00:00.000Z,16.302
2023-01-02T14:00:00.000Z,17.087
2023-01-02T15:00:00.000Z,17.918
2023-01-02T16:00:00.000Z,18.700
2023-01-02T17:00:00.000Z,19.221
2023-01-02T18:00:00.000Z,18.091
2023-01-02T19:00:00.000Z,16.830
2023-01-02T20:00:00.000Z,15.584
2023-01-02T21:00:00.000Z,14.484
2023-01-02T22:00:00.000Z,12.987
2023-01-02T23:00:00.000Z,8.669
2023-01-03T00:00:00.000Z,8.132
2023-01-03T01:00:00.000Z,8.133
2023-01-03T02:00:00.000Z,7.858
2023-01-03T03:00:00.000Z,7.956
2023-01-03T04:00:00.000Z,8.485
2023-01-03T05:00:00.000Z,11.273
2023-01-03T06:00:00.000Z,17.046
2023-01-03T07:00:00.000Z,18.031
2023-01-03T08:00:00.000Z,18.378
2023-01-03T09:00:00.000Z,18.543
2023-01-03T10:00:00.000Z,18.644
2023-01-03T11:00:00.000Z,18.095
2023-01-03T12:00:00.000Z,17.700
2023-01-03T13:00:00.000Z,17.937
2023-01-03T14:00:00.000Z,18.450
2023-01-03T15:00:00.000Z,18.327
2023-01-03T16:00:00.000Z,18.779
2023-01-03T17:00:00.000Z,18.582
2023-01-03T18:00:00.000Z,17.709
2023-01-03T19:00:00.000Z,16.458
2023-01-03T20:00:00.000Z,14.416
2023-01-03T21:00:00.000Z,12.570
2023-01-03T22:00:00.000Z,10.303
2023-01-03T23:00:00.000Z,9.117
2023-01-04T00:00:00.000Z,8.672
2023-01-04T01:00:00.000Z,7.692
2023-01-04T02:00:00.000Z,7.619
2023-01-04T03:00:00.000Z,7.893
2023-01-04T04:00:00.000Z,8.990
2023-01-04T05:00:00.000Z,12.404
2023-01-04T06:00:00.000Z,13.939
2023-01-04T07:00:00.000Z,14.070
2023-01-04T08:00:00.000Z,14.071
2023-01-04T09:00:00.000Z,13.338
2023-01-04T10:00:00.000Z,13.087
2023-01-04T11:00:00.000Z,13.191
2023-01-04T12:00:00.000Z,14.858
2023-01-04T13:00:00.000Z,14.309
2023-01-04T14:00:00.000Z,14.306
2023-01-04T15:00:00.000Z,13.758
2023-01-04T16:00:00.000Z,14.678
2023-01-04T17:00:00.000Z,13.751
2023-01-04T18:00:00.000Z,13.187
2023-01-04T19:00:00.000Z,7.102
2023-01-04T20:00:00.000Z,6.299
2023-01-04T21:00:00.000Z,4.173
2023-01-04T22:00:00.000Z,3.390
2023-01-04T23:00:00.000Z,3.303
2023-01-05T00:00:00.000Z,3.097
2023-01-05T01:00:00.000Z,3.045
2023-01-05T02:00:00.000Z,3.054
2023-01-05T03:00:00.000Z,3.149
2023-01-05T04:00:00.000Z,4.378
2023-01-05T05:00:00.000Z,6.897
