timestamp,ws_101256,ws_101267,ws_101673,ws_101846,t_101118,t_101339,t_101786,t_100968,WindPowerCapacityMW,NuclearPowerMW,Price_cpkWh,PricePredict_cpkWh
2023-01-01 00:00:00+00:00,14.4,10.7,11.7,8.7,2.1,2.8,1.2,4.0,5207.0,4371.744998,0.152,0.7355030686847576
2023-01-01 01:00:00+00:00,15.2,10.9,12.5,9.2,1.9,2.2,1.4,3.8,5207.0,4373.079996,0.01,0.37157820761532223
2023-01-01 02:00:00+00:00,14.5,11.6,12.5,10.2,1.2,1.7,1.7,3.5,5207.0,4373.3099965,0.009,0.4904039286123547
2023-01-01 03:00:00+00:00,13.5,10.5,13.6,10.9,0.7,1.3,1.7,2.3,5207.0,4372.399997,0.006,0.5320309697975846
2023-01-01 04:00:00+00:00,13.3,9.7,14.9,10.8,0.2,0.7,1.2,1.8,5207.0,4370.9699965,0.009,0.47525228939481573
2023-01-01 05:00:00+00:00,12.2,9.5,14.8,11.9,-0.4,0.3,0.8,1.4,5207.0,4371.614996,0.01,0.40233395256595245
2023-01-01 06:00:00+00:00,11.9,9.3,14.5,10.4,-0.8,0.1,0.8,0.8,5207.0,4371.8849975,0.058,0.6986931126968631
2023-01-01 07:00:00+00:00,11.9,8.1,13.5,11.0,-1.1,-0.4,0.3,0.0,5207.0,4371.964998,0.223,0.8512717364722142
2023-01-01 08:00:00+00:00,11.8,8.6,13.2,12.1,-1.2,-0.9,0.1,-1.0,5207.0,4371.1749975,0.341,1.3679389355436742
2023-01-01 09:00:00+00:00,12.0,9.2,13.3,10.3,-1.3,-1.4,-0.4,-0.9,5207.0,4371.8699990000005,0.487,1.2503050914706857
2023-01-01 10:00:00+00:00,12.0,10.0,13.5,10.4,-1.2,-1.6,-0.7,-1.1,5207.0,4371.1499985,0.667,1.5149862168752406
2023-01-01 11:00:00+00:00,11.6,10.3,13.9,10.9,-1.4,-1.7,-0.8,-0.6,5207.0,4367.709995499999,0.667,1.4156471841515386
2023-01-01 12:00:00+00:00,13.1,10.8,14.0,11.5,-1.6,-1.8,-0.5,0.0,5207.0,4359.8649955,0.625,2.086916362329683
2023-01-01 13:00:00+00:00,12.2,10.8,13.5,11.3,-1.8,-2.1,-0.4,-0.4,5207.0,4301.9299965,1.948,2.353593212487145
2023-01-01 14:00:00+00:00,13.7,9.7,14.4,13.6,-2.1,-2.5,-0.5,-1.1,5207.0,4295.7299965,2.652,2.62529487509783
2023-01-01 15:00:00+00:00,14.2,11.2,14.9,12.7,-2.9,-2.8,-0.4,-1.6,5207.0,4361.244995,4.019,3.8647265319284894
2023-01-01 16:00:00+00:00,12.6,10.2,15.8,12.0,-3.5,-3.0,-0.6,-1.7,5207.0,4361.839995,5.063,4.379443274967036
2023-01-01 17:00:00+00:00,11.8,10.3,14.7,10.8,-3.5,-3.3,-0.1,-2.2,5207.0,4361.219995500001,5.965,4.898531814158289
2023-01-01 18:00:00+00:00,11.7,10.1,13.8,11.3,-3.9,-3.6,0.0,-2.3,5207.0,4359.989995,5.899,4.879165681161657
2023-01-01 19:00:00+00:00,11.8,10.6,13.3,10.2,-3.7,-3.6,-0.3,-2.5,5207.0,4359.1699965,5.286,4.548906570698046
2023-01-01 20:00:00+00:00,12.3,10.2,12.1,8.4,-4.1,-3.6,-0.7,-2.9,5207.0,4365.1599985,4.915,4.407660061133537
2023-01-01 21:00:00+00:00,11.2,11.0,11.0,7.3,-4.4,-3.5,-1.3,-2.6,5207.0,4369.7499975,5.056,4.643825462545335
2023-01-01 22:00:00+00:00,11.9,11.3,10.4,9.1,-3.9,-3.6,-1.1,-2.6,5207.0,4369.534999,3.85,4.138275826889568
2023-01-01 23:00:00+00:00,10.8,10.9,11.9,9.4,-3.6,-3.6,-1.9,-2.1,5207.0,4370.2699985,6.37,4.07431516772904
2023-01-02 00:00:00+00:00,9.2,9.1,10.6,7.4,-3.4,-3.7,-2.2,-2.2,5207.0,4371.509997,5.684,5.225966789989952
2023-01-02 01:00:00+00:00,9.1,8.2,11.3,6.4,-2.8,-3.7,-2.4,-2.5,5207.0,4371.059998,5.815,5.744186037756074
2023-01-02 02:00:00+00:00,7.5,7.0,11.8,7.9,-2.2,-3.5,-2.1,-2.3,5207.0,4372.454998,4.858,4.9013536647402
2023-01-02 03:00:00+00:00,5.3,4.9,11.8,8.6,-2.5,-3.5,-2.0,-2.2,5207.0,4373.4699975,5.509,5.505620537441395
2023-01-02 04:00:00+00:00,5.1,4.7,11.9,6.9,-2.9,-3.3,-1.6,-2.7,5207.0,4370.499997000001,7.78,8.224324058245172
2023-01-02 05:00:00+00:00,4.5,3.5,12.4,7.8,-4.5,-3.3,-1.6,-2.8,5207.0,4370.6099985,11.282,10.285725476746212
2023-01-02 06:00:00+00:00,4.7,3.7,11.9,8.0,-4.0,-3.3,-1.2,-3.3,5207.0,4371.839996500001,15.201,12.105009146256133
2023-01-02 07:00:00+00:00,3.5,3.8,10.7,5.6,-5.4,-4.3,-0.5,-3.6,5207.0,4374.6499994999995,16.058,11.85563204613414
2023-01-02 08:00:00+00:00,4.4,3.9,7.8,6.2,-4.0,-3.0,-0.6,-4.7,5207.0,3990.839996,16.176,13.948800038976943
2023-01-02 09:00:00+00:00,4.1,2.7,7.6,4.1,-3.6,-4.9,-1.0,-4.9,5207.0,2797.4249985,16.017,14.4806746064446
2023-01-02 10:00:00+00:00,2.8,3.9,6.6,5.0,-3.2,-5.6,-1.5,-4.2,5207.0,2802.739997,15.769,15.504203603801855
2023-01-02 11:00:00+00:00,4.2,4.2,6.3,4.5,-3.2,-6.1,-1.3,-3.7,5207.0,2983.9099975,15.882,14.269402286200023
2023-01-02 12:00:00+00:00,3.8,4.2,7.7,3.7,-3.3,-6.3,-1.7,-3.6,5207.0,2987.1199965,15.814,14.74084470097899
2023-01-02 13:00:00+00:00,3.6,5.0,7.9,3.6,-3.2,-6.0,-2.3,-3.3,5207.0,3008.0099975000003,16.302,15.006298036744083
2023-01-02 14:00:00+00:00,4.3,5.6,7.9,1.6,-3.4,-7.4,-3.5,-2.8,5207.0,3036.5949960000003,17.087,15.230195559019421
2023-01-02 15:00:00+00:00,5.4,6.1,6.4,2.3,-3.3,-8.0,-4.5,-3.0,5207.0,3045.9799985,17.918,14.205177551241295
2023-01-02 16:00:00+00:00,6.8,6.5,6.4,3.7,-2.9,-7.8,-5.5,-2.2,5207.0,3435.759997,18.7,16.38552451235681
2023-01-02 17:00:00+00:00,8.1,6.7,5.4,3.3,-2.4,-8.5,-6.6,-1.7,5207.0,3555.1749970000005,19.221,16.718563717559018
2023-01-02 18:00:00+00:00,7.4,8.3,5.2,4.1,-2.0,-8.5,-8.4,-1.1,5207.0,3556.5399975,18.091,15.573340816350315
2023-01-02 19:00:00+00:00,6.1,7.5,4.8,4.8,-1.7,-8.5,-9.4,-0.4,5207.0,3876.1399960000003,16.83,14.46054603489519
2023-01-02 20:00:00+00:00,5.3,6.6,4.7,4.6,-1.8,-8.3,-9.8,-0.2,5207.0,4309.969996,15.584,13.211735581478855
2023-01-02 21:00:00+00:00,4.6,6.3,4.8,4.2,-1.7,-8.3,-9.7,-0.2,5207.0,4365.2349945000005,14.484,12.928072641583018
2023-01-02 22:00:00+00:00,3.8,5.7,3.4,3.5,-1.6,-7.7,-9.3,-0.1,5207.0,4371.2999955,12.987,11.197910250516532
2023-01-02 23:00:00+00:00,3.3,4.8,4.7,3.5,-1.5,-7.7,-9.1,-0.6,5207.0,4369.699997000001,8.669,10.62669846219042
2023-01-03 00:00:00+00:00,2.6,3.2,2.7,3.7,-1.5,-7.5,-9.1,-0.9,5207.0,4370.1199975,8.132,8.132018039576735
2023-01-03 01:00:00+00:00,2.5,2.2,3.3,5.6,-1.7,-6.6,-9.0,-0.8,5207.0,4370.579993,8.133,8.113623266368146
2023-01-03 02:00:00+00:00,3.1,2.5,3.0,5.8,-1.8,-6.4,-8.5,-0.5,5207.0,4371.869998,7.858,7.973576969086478
2023-01-03 03:00:00+00:00,3.4,2.5,1.8,5.8,-1.8,-6.3,-8.1,-0.6,5207.0,4370.049998,7.956,8.382114563681332
2023-01-03 04:00:00+00:00,3.5,3.9,1.4,5.3,-1.8,-5.8,-8.2,-0.9,5207.0,4369.724995,8.485,9.642299974566198
2023-01-03 05:00:00+00:00,3.4,3.6,1.7,5.2,-1.8,-5.6,-8.1,-0.8,5207.0,4368.949998,11.273,12.736225277899202
2023-01-03 06:00:00+00:00,3.6,3.9,3.7,4.1,-1.8,-5.5,-7.9,-0.8,5207.0,4369.759996,17.046,14.239336588630525
2023-01-03 07:00:00+00:00,3.7,4.4,2.2,4.0,-1.9,-5.6,-7.8,-0.7,5207.0,4370.129997,18.031,14.996943700825916
2023-01-03 08:00:00+00:00,4.0,4.2,1.1,2.5,-2.0,-5.6,-7.7,-0.4,5207.0,3887.4899955,18.378,16.550873880013466
2023-01-03 09:00:00+00:00,4.0,3.4,1.9,2.4,-2.1,-5.5,-7.1,-0.7,5207.0,3419.959996,18.543,17.02225811340471
2023-01-03 10:00:00+00:00,3.9,3.7,4.9,2.8,-2.1,-5.5,-7.3,-1.2,5207.0,3330.0099950000003,18.644,16.396194444161775
2023-01-03 11:00:00+00:00,3.5,3.9,5.6,1.6,-2.0,-5.4,-7.3,-1.3,5207.0,3320.1849974999996,18.095,16.309098832262748
2023-01-03 12:00:00+00:00,4.1,3.3,6.4,4.4,-2.0,-5.8,-7.1,-1.4,5207.0,3319.7249970000003,17.7,16.761132553683268
2023-01-03 13:00:00+00:00,3.4,4.2,6.1,5.1,-2.1,-5.4,-7.1,-1.4,5207.0,3318.5649985000005,17.937,16.925737736970376
2023-01-03 14:00:00+00:00,3.5,4.1,6.3,5.8,-2.2,-5.2,-7.0,-1.5,5207.0,3299.7749974999997,18.45,17.11921117262097
2023-01-03 15:00:00+00:00,4.4,6.3,6.2,6.9,-2.4,-5.2,-6.7,-1.7,5207.0,3455.9499994999996,18.327,15.630817208979424
2023-01-03 16:00:00+00:00,5.2,5.7,5.5,6.7,-2.5,-5.0,-6.3,-1.9,5207.0,3459.3149980000003,18.779,16.467243050705854
2023-01-03 17:00:00+00:00,4.6,5.8,4.8,7.1,-2.4,-5.0,-6.3,-2.0,5207.0,3456.2949975,18.582,16.690863547355693
2023-01-03 18:00:00+00:00,4.7,7.1,5.7,7.3,-2.5,-5.1,-6.1,-2.1,5207.0,3456.799996,17.709,16.04168700344256
2023-01-03 19:00:00+00:00,6.2,6.7,6.8,6.2,-2.6,-5.1,-6.6,-2.2,5207.0,3458.0849970000004,16.458,14.660211242939203
2023-01-03 20:00:00+00:00,6.2,5.3,7.2,5.5,-2.6,-5.3,-7.0,-2.4,5207.0,3457.3199959999997,14.416,13.725557302081755
2023-01-03 21:00:00+00:00,6.1,5.8,8.9,5.6,-2.7,-5.7,-7.4,-2.5,5207.0,3457.4749965,12.57,12.316029667444116
2023-01-03 22:00:00+00:00,5.5,6.7,9.7,5.9,-2.8,-5.5,-7.5,-2.5,5207.0,3456.7849985000003,10.303,11.010229080292856
