"time","wind_speed_100m (m/s)"
"2023-01-01T00:00","14.71"
"2023-01-01T01:00","15.88"
"2023-01-01T02:00","14.89"
"2023-01-01T03:00","15.11"
"2023-01-01T04:00","14.47"
"2023-01-01T05:00","15.03"
"2023-01-01T06:00","15.25"
"2023-01-01T07:00","14.81"
"2023-01-01T08:00","14.04"
"2023-01-01T09:00","13.41"
"2023-01-01T10:00","13.3"
"2023-01-01T11:00","13.42"
"2023-01-01T12:00","13.81"
"2023-01-01T13:00","14.52"
"2023-01-01T14:00","13.66"
"2023-01-01T15:00","13.28"
"2023-01-01T16:00","13.37"
"2023-01-01T17:00","12.92"
"2023-01-01T18:00","12.63"
"2023-01-01T19:00","13.51"
"2023-01-01T20:00","13"
"2023-01-01T21:00","13.23"
"2023-01-01T22:00","13.66"
"2023-01-01T23:00","13.57"
"2023-01-02T00:00","12.68"
"2023-01-02T01:00","11.37"
"2023-01-02T02:00","11.2"
"2023-01-02T03:00","10.96"
"2023-01-02T04:00","9.71"
"2023-01-02T05:00","8.07"
"2023-01-02T06:00","7.23"
"2023-01-02T07:00","5.3"
"2023-01-02T08:00","6.14"
"2023-01-02T09:00","4.93"
"2023-01-02T10:00","6.13"
"2023-01-02T11:00","5.97"
"2023-01-02T12:00","4.9"
"2023-01-02T13:00","5.06"
"2023-01-02T14:00","4.44"
"2023-01-02T15:00","4.03"
"2023-01-02T16:00","3.31"
"2023-01-02T17:00","4.27"
"2023-01-02T18:00","3.26"
"2023-01-02T19:00","3.49"
"2023-01-02T20:00","5.07"
"2023-01-02T21:00","4.65"
"2023-01-02T22:00","5.52"
"2023-01-02T23:00","5.82"
"2023-01-03T00:00","5.33"
"2023-01-03T01:00","5.37"
"2023-01-03T02:00","5.69"
"2023-01-03T03:00","6.16"
"2023-01-03T04:00","6.98"
"2023-01-03T05:00","7.38"
"2023-01-03T06:00","7.74"
"2023-01-03T07:00","7.96"
"2023-01-03T08:00","8.76"
"2023-01-03T09:00","9"
"2023-01-03T10:00","8.43"
"2023-01-03T11:00","7.67"
"2023-01-03T12:00","7.69"
"2023-01-03T13:00","7.65"
"2023-01-03T14:00","7.17"
"2023-01-03T15:00","7.65"
"2023-01-03T16:00","7.61"
"2023-01-03T17:00","8.32"
"2023-01-03T18:00","8.75"
"2023-01-03T19:00","8.81"
"2023-01-03T20:00","8.41"
"2023-01-03T21:00","8.34"
"2023-01-03T22:00","8.06"
"2023-01-03T23:00","7.33"
"2023-01-04T00:00","6.41"
"2023-01-04T01:00","9.7"
"2023-01-04T02:00","11.91"
"2023-01-04T03:00","11.64"
"2023-01-04T04:00","12.65"
"2023-01-04T05:00","12.21"
"2023-01-04T06:00","11.16"
"2023-01-04T07:00","10.4"
"2023-01-04T08:00","9.59"
"2023-01-04T09:00","9.14"
"2023-01-04T10:00","8.99"
"2023-01-04T11:00","8.87"
"2023-01-04T12:00","8.63"
"2023-01-04T13:00","8.24"
"2023-01-04T14:00","8.22"
"2023-01-04T15:00","8.99"
"2023-01-04T16:00","8.6"
"2023-01-04T17:00","7.66"
"2023-01-04T18:00","7.24"
"2023-01-04T19:00","9.85"
"2023-01-04T20:00","9.43"
"2023-01-04T21:00","9.89"
"2023-01-04T22:00","9.88"
"2023-01-04T23:00","9.93"
"2023-01-05T00:00","10.24"
"2023-01-05T01:00","10.59"
"2023-01-05T02:00","10.67"
"2023-01-05T03:00","10.67"
"2023-01-05T04:00","10.24"
"2023-01-05T05:00","9.39"
"2023-01-05T06:00","9.11"
"2023-01-05T07:00","9.12"
"2023-01-05T08:00","8.76"
"2023-01-05T09:00","8.26"
"2023-01-05T10:00","7.78"
"2023-01-05T11:00","7.66"
"2023-01-05T12:00","7.21"
"2023-01-05T13:00","6.96"
"2023-01-05T14:00","6.13"
"2023-01-05T15:00","6.17"
"2023-01-05T16:00","6.22"
"2023-01-05T17:00","6.62"
"2023-01-05T18:00","6.95"
"2023-01-05T19:00","6.39"
"2023-01-05T20:00","5.7"
"2023-01-05T21:00","5.38"
"2023-01-05T22:00","5.63"
"2023-01-05T23:00","5.3"
"2023-01-06T00:00","4.75"
"2023-01-06T01:00","4.83"
"2023-01-06T02:00","4.44"
"2023-01-06T03:00","4.22"
"2023-01-06T04:00","4.32"
"2023-01-06T05:00","5.04"
"2023-01-06T06:00","5.54"
"2023-01-06T07:00","5.78"
"2023-01-06T08:00","5.96"
"2023-01-06T09:00","6.01"
"2023-01-06T10:00","6.54"
"2023-01-06T11:00","7.38"
"2023-01-06T12:00","7.89"
"2023-01-06T13:00","7.58"
"2023-01-06T14:00","7.77"
"2023-01-06T15:00","8.02"
"2023-01-06T16:00","8.26"
"2023-01-06T17:00","8.04"
"2023-01-06T18:00","8.53"
"2023-01-06T19:00","8.7"
"2023-01-06T20:00","8.92"
"2023-01-06T21:00","9.36"
"2023-01-06T22:00","9.36"
"2023-01-06T23:00","9.71"
"2023-01-07T00:00","10.63"
"2023-01-07T01:00","11.81"
"2023-01-07T02:00","12.32"
"2023-01-07T03:00","12.78"
"2023-01-07T04:00","12.94"
"2023-01-07T05:00","13.06"
"2023-01-07T06:00","12.99"
"2023-01-07T07:00","13.33"
"2023-01-07T08:00","13.64"
"2023-01-07T09:00","13.42"
"2023-01-07T10:00","13.87"
"2023-01-07T11:00","14.02"
"2023-01-07T12:00","13.77"
"2023-01-07T13:00","13.48"
"2023-01-07T14:00","14.48"
"2023-01-07T15:00","14.55"
"2023-01-07T16:00","14.61"
"2023-01-07T17:00","13.79"
"2023-01-07T18:00","14.17"
"2023-01-07T19:00","13.91"
"2023-01-07T20:00","13.46"
"2023-01-07T21:00","13.4"
"2023-01-07T22:00","13.54"
"2023-01-07T23:00","13.2"
"2023-01-08T00:00","13.48"
"2023-01-08T01:00","13.59"
"2023-01-08T02:00","12.45"
"2023-01-08T03:00","13.05"
"2023-01-08T04:00","13.09"
"2023-01-08T05:00","13.42"
"2023-01-08T06:00","13.95"
"2023-01-08T07:00","14.41"
"2023-01-08T08:00","14.75"
"2023-01-08T09:00","14.56"
"2023-01-08T10:00","14.31"
"2023-01-08T11:00","14.21"
"2023-01-08T12:00","15.03"
"2023-01-08T13:00","14.64"
"2023-01-08T14:00","13.29"
"2023-01-08T15:00","13.6"
"2023-01-08T16:00","14.31"
"2023-01-08T17:00","14.8"
"2023-01-08T18:00","14.2"
"2023-01-08T19:00","13.76"
"2023-01-08T20:00","14.49"
"2023-01-08T21:00","14.54"
"2023-01-08T22:00","14.54"
"2023-01-08T23:00","15.92"
"2023-01-09T00:00","16.46"
"2023-01-09T01:00","16.46"
