Date Time,Temp [°C],Wind [m/s],PricePredict [c/kWh]
2023-02-28 22:00:00,0.2,3.8,2.9796274064737003
2023-02-28 23:00:00,-0.1,3.7,3.1100536455026444
2023-03-01 00:00:00,-1.1,3.1,3.3376767277157544
2023-03-01 01:00:00,-1.4,3.3,3.3089227753347994
2023-03-01 02:00:00,-1.6,3.5,3.21528423300676
2023-03-01 03:00:00,-2.0,3.0,3.8944541240601507
2023-03-01 04:00:00,-2.3,3.4,6.199131992805634
2023-03-01 05:00:00,-2.2,3.5,9.271492278762272
2023-03-01 06:00:00,-1.9,3.6,10.276276518026187
2023-03-01 07:00:00,-2.1,3.7,11.21871119015727
2023-03-01 08:00:00,-2.0,3.7,10.797301156421192
2023-03-01 09:00:00,-1.5,3.3,9.898711724047237
2023-03-01 10:00:00,-0.3,3.8,6.755934497061243
2023-03-01 11:00:00,1.0,4.7,5.9759423561640865
2023-03-01 12:00:00,2.0,4.9,5.928252477377553
2023-03-01 13:00:00,3.1,4.7,6.723472299852352
2023-03-01 14:00:00,3.6,4.7,6.612997985680307
2023-03-01 15:00:00,3.9,5.1,5.78199048843767
2023-03-01 16:00:00,4.2,4.9,6.4970263738164284
2023-03-01 17:00:00,4.1,3.3,7.021224979742888
2023-03-01 18:00:00,3.7,1.7,6.416973997825927
2023-03-01 19:00:00,3.5,1.8,5.251995290610282
2023-03-01 20:00:00,3.2,2.8,4.751456287779581
2023-03-01 21:00:00,3.1,2.5,3.6885384575929994
2023-03-01 22:00:00,2.7,2.0,3.4989498233227803
2023-03-01 23:00:00,2.5,2.1,3.508741052176877
2023-03-02 00:00:00,2.1,2.9,3.9971822518037516
2023-03-02 01:00:00,1.8,4.4,1.8657158148148139
2023-03-02 02:00:00,1.5,4.3,2.0604505894179885
2023-03-02 03:00:00,0.9,4.2,2.524198393650793
2023-03-02 04:00:00,1.1,4.5,3.0339115272995514
2023-03-02 05:00:00,0.7,3.8,5.366430846401941
2023-03-02 06:00:00,0.5,4.8,5.108376440993334
