Date Time,Temp [°C],Wind [m/s],Price [c/kWh],hour,day_of_week,month
2023-02-28 22:00:00,0.2,3.8,2.507,22,1,2
2023-02-28 23:00:00,-0.1,3.7,2.691,23,1,2
2023-03-01 00:00:00,-1.1,3.1,2.547,0,2,3
2023-03-01 01:00:00,-1.4,3.3,2.554,1,2,3
2023-03-01 02:00:00,-1.6,3.5,2.601,2,2,3
2023-03-01 03:00:00,-2.0,3.0,2.804,3,2,3
2023-03-01 04:00:00,-2.3,3.4,3.602,4,2,3
2023-03-01 05:00:00,-2.2,3.5,10.833,5,2,3
2023-03-01 06:00:00,-1.9,3.6,15.006,6,2,3
2023-03-01 07:00:00,-2.1,3.7,18.007,7,2,3
2023-03-01 08:00:00,-2.0,3.7,14.3,8,2,3
2023-03-01 09:00:00,-1.5,3.3,11.788,9,2,3
2023-03-01 10:00:00,-0.3,3.8,11.504,10,2,3
2023-03-01 11:00:00,1.0,4.7,11.22,11,2,3
2023-03-01 12:00:00,2.0,4.9,11.081,12,2,3
2023-03-01 13:00:00,3.1,4.7,11.181,13,2,3
2023-03-01 14:00:00,3.6,4.7,11.413,14,2,3
2023-03-01 15:00:00,3.9,5.1,11.526,15,2,3
2023-03-01 16:00:00,4.2,4.9,11.72,16,2,3
2023-03-01 17:00:00,4.1,3.3,11.708,17,2,3
2023-03-01 18:00:00,3.7,1.7,7.11,18,2,3
2023-03-01 19:00:00,3.5,1.8,3.144,19,2,3
2023-03-01 20:00:00,3.2,2.8,2.711,20,2,3
2023-03-01 21:00:00,3.1,2.5,2.274,21,2,3
2023-03-01 22:00:00,2.7,2.0,2.127,22,2,3
2023-03-01 23:00:00,2.5,2.1,1.686,23,2,3
2023-03-02 00:00:00,2.1,2.9,1.289,0,3,3
2023-03-02 01:00:00,1.8,4.4,1.046,1,3,3
2023-03-02 02:00:00,1.5,4.3,1.265,2,3,3
2023-03-02 03:00:00,0.9,4.2,1.749,3,3,3
2023-03-02 04:00:00,1.1,4.5,2.205,4,3,3
2023-03-02 05:00:00,0.7,3.8,2.384,5,3,3
2023-03-02 06:00:00,0.5,4.8,2.611,6,3,3
2023-03-02 07:00:00,1.0,6.2,3.216,7,3,3
2023-03-02 08:00:00,1.0,6.0,2.999,8,3,3
2023-03-02 09:00:00,1.2,5.8,2.528,9,3,3
2023-03-02 10:00:00,1.8,6.7,2.421,10,3,3
2023-03-02 11:00:00,2.9,7.5,2.378,11,3,3
2023-03-02 12:00:00,3.6,7.6,2.355,12,3,3
2023-03-02 13:00:00,3.7,8.9,2.319,13,3,3
2023-03-02 14:00:00,3.8,7.7,2.264,14,3,3
2023-03-02 15:00:00,3.9,7.4,2.276,15,3,3
2023-03-02 16:00:00,4.2,7.8,2.347,16,3,3
2023-03-02 17:00:00,3.8,7.3,2.359,17,3,3
2023-03-02 18:00:00,3.0,6.8,2.363,18,3,3
2023-03-02 19:00:00,2.0,5.8,2.277,19,3,3
2023-03-02 20:00:00,1.2,4.9,2.332,20,3,3
2023-03-02 21:00:00,0.4,2.5,2.3,21,3,3
2023-03-02 22:00:00,0.7,4.1,2.254,22,3,3
2023-03-02 23:00:00,1.1,4.2,2.153,23,3,3
2023-03-03 00:00:00,1.3,4.1,2.154,0,4,3
2023-03-03 01:00:00,1.2,3.9,2.2,1,4,3
2023-03-03 02:00:00,0.9,4.4,2.252,2,4,3
2023-03-03 03:00:00,0.5,3.7,2.349,3,4,3
2023-03-03 04:00:00,0.2,3.5,2.617,4,4,3
2023-03-03 05:00:00,0.1,4.0,6.393,5,4,3
2023-03-03 06:00:00,-0.3,3.9,11.577,6,4,3
2023-03-03 07:00:00,-1.2,3.3,11.693,7,4,3
2023-03-03 08:00:00,-1.8,3.1,11.598,8,4,3
2023-03-03 09:00:00,-1.6,3.2,12.798,9,4,3
2023-03-03 10:00:00,-0.9,3.1,11.819,10,4,3
2023-03-03 11:00:00,0.1,3.8,11.194,11,4,3
2023-03-03 12:00:00,0.9,4.3,10.421,12,4,3
2023-03-03 13:00:00,1.5,5.5,10.509,13,4,3
2023-03-03 14:00:00,2.0,6.3,12.13,14,4,3
2023-03-03 15:00:00,2.2,7.2,14.956,15,4,3
2023-03-03 16:00:00,1.9,6.8,16.657,16,4,3
2023-03-03 17:00:00,0.5,4.7,16.5,17,4,3
2023-03-03 18:00:00,0.0,4.7,10.176,18,4,3
2023-03-03 19:00:00,0.0,4.4,4.027,19,4,3
2023-03-03 20:00:00,0.0,4.3,4.008,20,4,3
2023-03-03 21:00:00,0.1,3.8,3.334,21,4,3
2023-03-03 22:00:00,0.0,2.5,2.156,22,4,3
2023-03-03 23:00:00,0.0,1.6,4.436,23,4,3
2023-03-04 00:00:00,0.0,1.8,2.764,0,5,3
2023-03-04 01:00:00,-0.3,4.3,2.417,1,5,3
2023-03-04 02:00:00,-0.9,5.4,2.474,2,5,3
2023-03-04 03:00:00,-1.2,5.7,2.556,3,5,3
2023-03-04 04:00:00,-1.5,5.2,2.764,4,5,3
