timestamp,Temp [°C],Wind [m/s],Wind Power [MWh],Wind Power Capacity [MWh],Price [c/kWh]
20230213T220000Z,2.4,4.2,3463.8,5451.0,3.171
20230213T230000Z,2,4.2,2699.8,5451.0,3.821
20230214T000000Z,1.6,3.3,2263.3,5451.0,5.569
20230214T010000Z,0.8,2.9,1738.8,5451.0,8.506
20230214T020000Z,0,2.9,1306.4,5451.0,10.494
20230214T030000Z,-0.7,2.2,905.89999,5451.0,10.633
20230214T040000Z,-1.4,1.8,660.1,5451.0,13.853
20230214T050000Z,-3.8,1.4,760.39999,5451.0,16.224
20230214T060000Z,-3.1,2.2,1253.0,5451.0,19.379
20230214T070000Z,-2.7,0.8,1425.09999,5451.0,20.057
20230214T080000Z,-3.3,1.2,1566.8,5451.0,17.461
20230214T090000Z,-1,1.1,1964.2,5451.0,12.167
20230214T100000Z,0.1,1.1,1308.4,5451.0,12.118
20230214T110000Z,1,1.4,1360.09999,5451.0,12.584
20230214T120000Z,1.8,1.6,1115.8,5451.0,11.904
20230214T130000Z,2.3,3,1071.7,5451.0,12.201
20230214T140000Z,2.5,3.3,1196.09999,5451.0,11.755
20230214T150000Z,2.3,3.2,1224.7,5451.0,14.208
20230214T160000Z,1.8,2.3,1170.9,5451.0,17.647
20230214T170000Z,0.8,2.7,1114.3,5451.0,19.359
20230214T180000Z,-0.6,2.9,1183.5,5451.0,12.972
20230214T190000Z,-1.1,1.6,1292.09999,5451.0,10.936
20230214T200000Z,-0.3,2.6,1282.4,5451.0,10.903
20230214T210000Z,-0.3,2.9,1148.5,5451.0,10.606
20230214T220000Z,-0.5,2.4,1044.4,5451.0,10.411
20230214T230000Z,-0.8,2.4,921.29999,5451.0,7.217
20230215T000000Z,-1,3.1,877.1,5451.0,7.613
20230215T010000Z,-0.9,2.1,773.1,5451.0,6.809
20230215T020000Z,-0.9,1.5,673.2,5451.0,6.907
20230215T030000Z,-1.1,1.5,685.7,5451.0,10.268
20230215T040000Z,-1.3,1.4,757.5,5451.0,14.999
20230215T050000Z,-1.7,1.7,842.39999,5451.0,15.733
20230215T060000Z,-2.1,1.6,880.2,5451.0,18.802
20230215T070000Z,-2.4,1.3,942.2,5451.0,18.876
20230215T080000Z,-2.3,1.3,896.89999,5451.0,17.122
20230215T090000Z,-1.9,1.7,824.5,5451.0,15.718
20230215T100000Z,-1.5,1.7,831.6,5451.0,15.033
20230215T110000Z,-1.1,1.7,788.0,5451.0,15.501
20230215T120000Z,-0.9,1.9,839.5,5451.0,15.034
20230215T130000Z,-0.8,2.8,1107.3,5451.0,12.898
20230215T140000Z,-0.8,3.1,1390.59999,5451.0,12.895
20230215T150000Z,-1.3,3.7,1625.8,5451.0,15.712
20230215T160000Z,-1.4,3.2,1758.09999,5451.0,11.771
20230215T170000Z,-1.2,2.2,1930.2,5451.0,10.892
20230215T180000Z,-1,1.8,2129.8,5451.0,10.496
20230215T190000Z,-0.7,2.1,2469.9,5451.0,7.374
20230215T200000Z,-0.5,2.4,2651.19999,5451.0,6.617
20230215T210000Z,-0.3,2.7,2726.0,5451.0,5.834
20230215T220000Z,-0.1,3,2703.69999,5451.0,4.959
20230215T230000Z,-0.1,3,2730.3,5451.0,4.399
20230216T000000Z,-0.2,3.3,2795.59999,5451.0,3.724
20230216T010000Z,-0.3,3.2,2853.69999,5451.0,3.054
20230216T020000Z,-0.4,3.1,2932.69999,5451.0,2.661
20230216T030000Z,-0.4,3.1,3051.8,5451.0,2.619
20230216T040000Z,-0.4,2.9,3184.5,5451.0,3.139
20230216T050000Z,-0.5,2.7,3280.0,5451.0,3.792
20230216T060000Z,-0.6,2.9,3380.8,5451.0,5.394
20230216T070000Z,-0.7,3.3,3423.09999,5451.0,5.262
20230216T080000Z,-0.8,3,3440.4,5451.0,4.497
20230216T090000Z,-0.8,3.5,3391.0,5451.0,4.622
20230216T100000Z,-0.7,4.1,3348.3,5451.0,4.651
20230216T110000Z,-0.6,3.7,3410.19999,5451.0,4.744
20230216T120000Z,-0.5,3.5,3516.09999,5451.0,4.998
20230216T130000Z,-0.4,4.3,3534.5,5451.0,4.911
20230216T140000Z,-0.3,4.1,3453.5,5451.0,4.596
