"timestamp_UTC";"day.month.year_time_helsinki";"temp_celsius";"wind_m/s";"price_cents_per_kWh"
"1676325600";"14.2.2023 0:00";"2.4";"4.2";"3.171"
"1676329200";"14.2.2023 1:00";"2";"4.2";"3.821"
"1676332800";"14.2.2023 2:00";"1.6";"3.3";"5.569"
"1676336400";"14.2.2023 3:00";"0.8";"2.9";"8.506"
"1676340000";"14.2.2023 4:00";"0";"2.9";"10.494"
"1676343600";"14.2.2023 5:00";"-0.7";"2.2";"10.633"
"1676347200";"14.2.2023 6:00";"-1.4";"1.8";"13.853"
"1676350800";"14.2.2023 7:00";"-3.8";"1.4";"16.224"
"1676354400";"14.2.2023 8:00";"-3.1";"2.2";"19.379"
"1676358000";"14.2.2023 9:00";"-2.7";"0.8";"20.057"
"1676361600";"14.2.2023 10:00";"-3.3";"1.2";"17.461"
"1676365200";"14.2.2023 11:00";"-1";"1.1";"12.167"
"1676368800";"14.2.2023 12:00";"0.1";"1.1";"12.118"
"1676372400";"14.2.2023 13:00";"1";"1.4";"12.584"
"1676376000";"14.2.2023 14:00";"1.8";"1.6";"11.904"
"1676379600";"14.2.2023 15:00";"2.3";"3";"12.201"
"1676383200";"14.2.2023 16:00";"2.5";"3.3";"11.755"
"1676386800";"14.2.2023 17:00";"2.3";"3.2";"14.208"
"1676390400";"14.2.2023 18:00";"1.8";"2.3";"17.647"
"1676394000";"14.2.2023 19:00";"0.8";"2.7";"19.359"
"1676397600";"14.2.2023 20:00";"-0.6";"2.9";"12.972"
"1676401200";"14.2.2023 21:00";"-1.1";"1.6";"10.936"
"1676404800";"14.2.2023 22:00";"-0.3";"2.6";"10.903"
"1676408400";"14.2.2023 23:00";"-0.3";"2.9";"10.606"
"1676412000";"15.2.2023 0:00";"-0.5";"2.4";"10.411"
"1676415600";"15.2.2023 1:00";"-0.8";"2.4";"7.217"
"1676419200";"15.2.2023 2:00";"-1";"3.1";"7.613"
"1676422800";"15.2.2023 3:00";"-0.9";"2.1";"6.809"
"1676426400";"15.2.2023 4:00";"-0.9";"1.5";"6.907"
"1676430000";"15.2.2023 5:00";"-1.1";"1.5";"10.268"
"1676433600";"15.2.2023 6:00";"-1.3";"1.4";"14.999"
"1676437200";"15.2.2023 7:00";"-1.7";"1.7";"15.733"
"1676440800";"15.2.2023 8:00";"-2.1";"1.6";"18.802"
"1676444400";"15.2.2023 9:00";"-2.4";"1.3";"18.876"
"1676448000";"15.2.2023 10:00";"-2.3";"1.3";"17.122"
"1676451600";"15.2.2023 11:00";"-1.9";"1.7";"15.718"
"1676455200";"15.2.2023 12:00";"-1.5";"1.7";"15.033"
"1676458800";"15.2.2023 13:00";"-1.1";"1.7";"15.501"
"1676462400";"15.2.2023 14:00";"-0.9";"1.9";"15.034"
"1676466000";"15.2.2023 15:00";"-0.8";"2.8";"12.898"
"1676469600";"15.2.2023 16:00";"-0.8";"3.1";"12.895"
"1676473200";"15.2.2023 17:00";"-1.3";"3.7";"15.712"
"1676476800";"15.2.2023 18:00";"-1.4";"3.2";"11.771"
"1676480400";"15.2.2023 19:00";"-1.2";"2.2";"10.892"
"1676484000";"15.2.2023 20:00";"-1";"1.8";"10.496"
"1676487600";"15.2.2023 21:00";"-0.7";"2.1";"7.374"
"1676491200";"15.2.2023 22:00";"-0.5";"2.4";"6.617"
"1676494800";"15.2.2023 23:00";"-0.3";"2.7";"5.834"
"1676498400";"16.2.2023 0:00";"-0.1";"3";"4.959"
"1676502000";"16.2.2023 1:00";"-0.1";"3";"4.399"
"1676505600";"16.2.2023 2:00";"-0.2";"3.3";"3.724"
"1676509200";"16.2.2023 3:00";"-0.3";"3.2";"3.054"
"1676512800";"16.2.2023 4:00";"-0.4";"3.1";"2.661"
