Speed,wind_power
3.8,3996.69999
3.7,3923.9
3.1,3952.5
3.3,3913.8
3.5,3884.4
3.0,3898.4
3.4,3785.4
3.5,3711.09999
3.6,3483.9
3.7,3191.59999
3.7,2785.69999
3.3,2468.59999
3.8,2644.19999
4.7,2561.3
4.9,2668.4
4.7,2832.5
4.7,2961.0
5.1,3061.9
4.9,3340.09999
3.3,3470.69999
1.7,3551.4
1.8,3633.8
2.8,3708.4
2.5,3669.8
2.0,3528.09999
2.1,3264.5
2.9,3248.8
4.4,3237.09999
4.3,3076.59999
4.2,2737.0
4.5,2280.0
3.8,1770.7
4.8,1328.0
6.2,1039.59999
6.0,894.6
5.8,895.89999
6.7,784.39999
7.5,1155.4
7.6,1423.5
8.9,1743.09999
7.7,2252.09999
7.4,2651.69999
7.8,2957.5
7.3,3025.59999
6.8,3127.09999
5.8,3186.8
4.9,3236.09999
2.5,3247.59999
4.1,3213.4
4.2,3235.59999
4.1,3180.69999
3.9,3108.3
4.4,3003.5
3.7,2842.0
3.5,2587.8
4.0,2305.0
3.9,2036.59999
3.3,1726.9
3.1,1393.09999
3.2,1202.3
3.1,1048.5
3.8,960.89999
4.3,862.2
5.5,789.1
6.3,739.39999
7.2,660.7
6.8,576.89999
4.7,606.0
4.7,627.0
4.4,678.5
4.3,812.1
3.8,814.0
2.5,755.6
1.6,648.79999
1.8,673.7
4.3,610.1
5.4,526.6
5.7,460.1
5.2,419.89999
4.1,353.3
3.6,333.89999
3.2,332.5
3.4,274.1
3.2,186.4
3.4,172.59999
3.3,155.9
3.6,144.4
3.7,144.0
3.3,169.09999
4.1,191.5
3.5,215.3
4.2,227.5
4.0,211.09999
4.0,204.59999
3.7,224.8
3.3,248.69999
2.8,265.5
2.6,338.89999
2.7,386.89999
2.6,466.19999
2.4,539.6
3.0,546.5
3.0,573.2
2.8,623.7
1.2,689.6
1.1,682.89999
1.1,590.6
1.3,513.39999
2.3,617.2
2.1,641.79999
2.4,618.39999
3.0,709.5
2.9,843.29999
2.8,907.2
3.0,890.29999
2.4,778.79999
1.9,622.89999
1.6,572.5
1.6,588.7
1.4,582.79999
3.2,560.29999
2.5,634.6
2.0,610.6
1.5,560.39999
1.8,521.89999
1.2,509.19999
1.2,520.89999
1.6,510.89999
1.0,608.39999
0.9,644.79999
0.6,587.89999
1.2,499.39999
2.0,655.89999
1.9,722.39999
2.2,769.7
2.7,981.39999
2.2,1213.2
1.8,1445.09999
1.1,1649.4
1.3,1868.4
2.1,2024.9
1.5,1977.8
1.3,1929.09999
0.5,1915.2
0.4,1910.09999
0.5,1961.3
0.3,1885.2
0.3,1764.09999
0.4,1557.0
0.5,1415.0
0.5,1132.09999
0.8,932.1
0.5,685.89999
0.5,535.39999
0.6,422.1
0.4,340.69999
1.5,365.8
2.3,410.1
2.8,513.7
3.2,725.79999
3.4,1001.9
3.4,1206.2
3.6,1466.7
3.2,1783.59999
2.4,2081.09999
2.9,2355.09999
3.8,2586.9
3.9,2706.4
3.8,2786.69999
4.3,2887.19999
4.4,2928.59999
4.5,3013.59999
5.4,3175.4
6.9,3321.19999
6.7,3440.3
6.7,3422.0
7.1,3228.4
